MATRICULA;RAZON SOCIAL;MUN-COMERCIAL;EMAIL-COMERCIAL;CIIU-1;ACTIVIDAD
101589;DROGUERIA CRUZ VERDE NUESTRO CARTAGO;76147 - CARTAGO;notificacionesjudiciales@cruzverde.com.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS MEDICINALES  COSMETICOS  ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
101719;PEFUMERIA DESTELLO DE LUNA;76020 - ALCALA;erikatatianabustamante@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PERFUMES
101801;FARMABEL;76400 - LA UNION;mari1008bel@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
101825;MILAGROS NUESTRO CARTAGO;76147 - CARTAGO;milagrosnuestrocartago@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO DE PRODUTOS CAPILARES
101844;SER BEAUTY 17;76147 - CARTAGO;serbeauty17@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
10186;DROGUERIA LA NUEVA;76622 - ROLDANILLO;aidanelly0215@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE MEDICAMENTOS  CONFECCIONES DE ARTICULOS TEXTILES Y VENTA DE LENCERIA
102114;PLANTAS MEDICINALES ANSERMANUEVO;76041 - ANSERMANUEVO;martinemilio59@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PLANTAS MEDICINALES
102206;EL PALACIO DE LA MANICURISTA;76147 - CARTAGO;mariavargasobando@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
102292;SALUD AL PUNTO;76147 - CARTAGO;nestormarinc.e@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS  OTROS TIPOS DE EXPENDIO DE COMIDAS PREPARADAS N.C.P.
102497;UMA BIOCOSMETICOS;76147 - CARTAGO;cvelasquez0@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;UMA BIOCOSMETICOS
102645;LIVANA;76147 - CARTAGO;livanacolombia@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
102654;PRETTY WOMAN SHOP;76147 - CARTAGO;vascolaura242501@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE MAQUILLAJE Y PRENDAS DE VESTIR
102690;AGRO&PETS DEL NORTE;76041 - ANSERMANUEVO;agroypetsdelnorte@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIALIZACIÓN DE INSUMOS AGROPECUARIOS Y VETERINARIOS
102793;MAXI DESCUENTOS MR;76845 - ULLOA;jhonatanmurilloaguirre@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
102808;CENTRO NATURISTA SANTO REMEDIO;76622 - ROLDANILLO;jaheos13@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS NATURALES
102890;ACQUA FRAGANCIAS STORE;76147 - CARTAGO;acquafraganciascartago@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;PERFUMERIA  VENTA DE CALZADO   PRENDAS DE VESTIR  Y LENCERÍA PARA EL HOGAR
102947;KAWI BEAUTY AND CARE;76147 - CARTAGO;kawiskin@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS COSMETICOS
103020;DON CERDO RECETA VALLUNA;76147 - CARTAGO;dperez040613@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;CARNICERIA
103021;DROGUERIA SAN CARLOS #3 CARTAGO;76147 - CARTAGO;drogueriassancarlos@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FAMACEUTICO Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
103032;PERFUMERIA STEFANY;76400 - LA UNION;angelatm659@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA AL POR MENOR DE PERFUMES Y PRODUCTOS DE ASEO
103041;PRODUCTOS DE BELLEZA ANGEL´S;76147 - CARTAGO;angel_196923@outlook.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES  COSMÉTICOS Y ARTÍCULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
103057;DROGUERIA NECTAR SALUD;76622 - ROLDANILLO;thenao65@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES  COSMÉTICOS Y ARTÍCULOS DE TOCADOR  VENTA DE VARIEDADES
103074;DROGUERIA EL BALSAL;76863 - VERSALLES;anilvia1015@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS
103168;DISTRIBUCIONES NATURALES MEJIA;76147 - CARTAGO;kblandon112@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
103170;TU DROGUERIA SALUD Y VIDA;76147 - CARTAGO;lucenagrajales75@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE MEDICAMENTOS  PRODUCTOS DE ASEO Y ALIMENTOS
103196;DROGUERIA SAN CARLOS CARTAGO #1;76147 - CARTAGO;drogueriassancarlos@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
103315;MUJER VALIENTE TIENDA DE BELLEZA; YOPAL;angiedahianamejia@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS DE BELLEZA VENTA DE PERFUMERIA MAQUILLAJE VENTA DE PRODUCTOS PARA EL CUIDADO DEL CABELLO Y CUIDADO CORPORAL VENTA DE ACCESORIOS.
103366;DROGUERIA DISFARMA GC SAS TORO; YOPAL;contabilidad2@disfarma.com.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
103374;DROGUERIA SOLINSA GC SAS ROLDANILLO;76622 - ROLDANILLO;contabilidad2@disfarma.com.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
103375;DROGUERIA SOLINSA GC SAS LA UNION;76400 - LA UNION;contabilidad2@disfarma.com.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
103442;F&O NUTRICIÓN CELULAR DEL VALLE;76400 - LA UNION;florvelezb@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;SERVICIO DE NUTRICION CELULAR  LIMPIA OXIGENA Y NUTRE EL ORGANISMO CON PRODUCTOS NATURALES.
103498;DROGUERIA MEDICOR; YOPAL;drogueriamedicor@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
103522;DROGUERIA TUMEDIC;76147 - CARTAGO;drogueriatumedic@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERIA Y PAPELERIA
103533;L.A.I.M BELLEZA;76147 - CARTAGO;marinosornoangiemelissa@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS COSMETICOS DE BELLEZA Y COMERCIO DE PARTES  PIEZAS Y ACCESORIOS DE MOTOCICLETAS.
103640;DROGUERIA BELLAS FARMA SOLUCION A TU SALUD;76147 - CARTAGO;bellasfarmadistribuciones@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
103665;DROGUERIA MEDICAR CARTAGO 7;76147 - CARTAGO;johan_1995pro@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;ERROR: #NAME?
103748;GLAMURES; YOPAL;glamurestiendadebelleza@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS DE BELLEZA Y PRODUCTOS COSMETICOS
103764;NATURAL LINDAS;76147 - CARTAGO;natural.lindas.shop@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS CAPILARES Y COSMETICOS AL IGUAL QUE EL SERVICIO DE PELIQUERIA
103769;DROGUERIA DROGAS CONEXION VITAL; YOPAL;drogasconexionvital@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS VARIEDAD DE PRODUCTOS CACHARRO
103812;DISTRIBUIDORA GERMAN NA AGRO;76147 - CARTAGO;lfle13@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;ERROR: #NAME?
103837;PERFUMERIA ADONIS;76147 - CARTAGO;perfumesadoniscartago@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PERFUMES
103924;DIVINITÉ;76147 - CARTAGO;annyturquesa@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;ERROR: #NAME?
104034;DISTRIBUCIONES MEDICAS J Y J;76622 - ROLDANILLO;distribucionesmedicasjj@gmail.com;G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador;DISTRIBUCIONES DE DISPOSITIVOS E INSUMOS MEDICO QUIRURGICO
104046;DRAIZ;76400 - LA UNION;rubellydiaz101970@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS NATURALES
104077;TIENDA DE REGALOS A&E;76147 - CARTAGO;esmeral2286@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;ERROR: #NAME?
104103;DISTRIBELLEZA C&L;76041 - ANSERMANUEVO;claudiacortes090675@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
104161;ORTHOSYSTEM SEDE CARTAGO;76147 - CARTAGO;contadora@orthosystem.com.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos  despachados directamente desde la ciudad de Cali y puestos al cliente
104198;DROGUERIA FARMAVALLE CARTAGO;76147 - CARTAGO;farmavalle.drog@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS FARMACEUTICOS Y MEDICINALE  NATURALES  COSMETICOS Y TOCADOR.
104233;TIENDA NATURISTA NATURAL MEDIK-A;76243 - EL AGUILA;robergranadacl@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS NATURALES
104283;SADYHAIR;76147 - CARTAGO;yessicazapataarias@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;FABRICACION Y DISTRIBUCION DE PRODUCTOS CAPILARES
104342;EL BOSQUE ENCANTADO;76147 - CARTAGO;elbosqueencantado97@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PLANTAS MEDICINALES
104365;SENTHIA CARTAGO LO NUESTRO;76147 - CARTAGO;piedad.roldan@senthia.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE COSMETICOS Y ARTICULOS DE TOCADOR
104376;TIENDA NATURISTA LA VIDA ES BELLA;76147 - CARTAGO;lufernanlo41@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS NATURALES
104403;AUDIFARMA FURATENA;76020 - ALCALA;notificacionesmercantiles@audifarma.com.co;G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador;COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS  MEDICINALES  COSMETICOS Y DE TOCADOR
104404;DROGUERIA DIMAR CARTAGO;76147 - CARTAGO;caroramirezdianamarcela@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
104534;VITAL JOMU;76622 - ROLDANILLO;carlosjojoa00@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS NATURALES
104621;LA ECONOMIA DROGUERIA # 10098;76147 - CARTAGO;jbustos@eticos.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL DETAL DE PRODUCTOS FARMACEUTICOS  MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR
104632;TIENDA NATURISTA MUNDO SALUD;76147 - CARTAGO;bocanegrabaenawilliam@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;TIENDA NATURISTA
104669;DISTRIBETAN;76147 - CARTAGO;distribeta8@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
104715;SEFORA PARIS;76147 - CARTAGO;melissarios005@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;ERROR: #NAME?
104731;LA HOJA VERDE AL NATURAL;76147 - CARTAGO;lahojaverdealnatural@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;TIENDA NATURISTA
104856;CONTROL DEL DOLOR CENTRO DE MEDICINA NATURAL;76400 - LA UNION;velezarangoargemiro@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados Otras actividades de atencion de la salud humana.
104914;DISEÑOS INSUMOS Y LABORATORIO DRL SAS;76147 - CARTAGO;laboratoriodrlsas@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;LABORATODIO ODONTOLOGICO PARA REALIZAR CORONAS Y PROTESIS DENTALES
104940;DROGUERIA EGOFARMA;76147 - CARTAGO;jotha199021@icloud.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
