RAZON SOCIAL;DIRECCIÓN;MUNICIPIO;TEL-COM-1;ACTIVIDAD POR SECTORES - CIIU 1;LATITUD;LONGITUD;localizacion
TEDDY POOL EXCLUSIVE;CARRERA 15A N 34-64;YOPAL;3138801347;BARES Y LICORES;5,32527;-72,393339;POINT (-72393339 5325270)
FUENTE DE SODA AROMA;CARRERA 7 N 42A - 02;YOPAL;3124737262;BARES Y LICORES;5,329418;-72,40617;POINT (-72406170 5329418)
SOY EL REY;CARRERA 18  N 9-38;YOPAL;3124327916;BARES Y LICORES;5,34656;-72,401954;POINT (-72401954 5346560)
WIDA BAR;CALLE 23 N 28-02;YOPAL;3124195139;BARES Y LICORES;5,340277;-72,387355;POINT (-72387355 5340277)
SAYUKO BAR;CARRERA 6 N 26-37;YOPAL;3153026625;BARES Y LICORES;5,329027;-72,407081;POINT (-72407081 5329027)
DONDE ISA BAR;CALLE 26 N 17-98;YOPAL;3105709009;BARES Y LICORES;5,332745;-72,395759;POINT (-72395759 5332745)
MIS ANTIGUEDADES BAR;CALLE 27 N 6 - 17;YOPAL;3204395642;BARES Y LICORES;5,328513;-72,406581;POINT (-72406581 5328513)
CAFE BAR RT;CARRERA 20 N 15 PLAZOLETA LOCAL 1;YOPAL;3124954965;BARES Y LICORES;5,344813;-72,398705;POINT (-72398705 5344813)
BAR MARTICA LA ESQUINA;CARRERA 5 N 42-03;YOPAL;3202273302;BARES Y LICORES;5,330601;-72,410156;POINT (-72410156 5330601)
LICORERA BAR TUSA LA ORIGINAL;CALLE 16 N 21-125;YOPAL;3504693535;BARES Y LICORES;5,343027;-72,39565;POINT (-72395650 5343027)
LICORERA BAR LOS RECUERDOS DE MARTINA;CARRERA 19 N 29-64;YOPAL;3154953923;BARES Y LICORES;5,330729;-72,39253;POINT (-72392530 5330729)
LICORERIA BAR LA CASA DE LA CAÃ‘A;CARRERA 19  N 23-06;YOPAL;3232842881;BARES Y LICORES;5,335712;-72,395276;POINT (-72395276 5335712)
BILLARES CRAVO SUR;CARRERA 31 N  29-78;YOPAL;3108154157;BARES Y LICORES;5,336832;-72,381317;POINT (-72381317 5336832)
PEOPLE BAR LICORERA LA 19;CARRERA 19 N 26-05;YOPAL;3183876989;BARES Y LICORES;5,333598;-72,394024;POINT (-72394024 5333598)
MANGO BICHE BAR YOPAL;CARRERA 29 N 30A-03;YOPAL;3108018044;BARES Y LICORES;5,332827;-72,380934;POINT (-72380934 5332827)
LA CANTALETA LICORERA BAR;CARRERA 19 N. 20-53;YOPAL;3202697165;BARES Y LICORES;5,338199;-72,396141;POINT (-72396141 5338199)
BAR RESTAURANTE LOS TRES REYES;CARRERA 29 N 50-86;YOPAL;3114558377;BARES Y LICORES;5,333937;-72,378362;POINT (-72378362 5333937)
BILLARES LIVERPOOL PUNTO 21;CARRERA 21 N 16-28;YOPAL;3104003212;BARES Y LICORES;5,342203;-72,396669;POINT (-72396669 5342203)
DISCOTECA CLUB SOFIA;CALLE 40 N 4 - 168;YOPAL;3138020414;BARES Y LICORES;5,318769;-72,408821;POINT (-72408821 5318769)
RESTAURANTE BAR DONDE BETO;CARRERA 20 N 34 - 04;YOPAL;3125874462;BARES Y LICORES;5,327824;-72,38951;POINT (-72389510 5327824)
BAR KITOZ BAR;CARRERA 16 N 17-72;YOPAL;3102778357;BARES Y LICORES;5,340047;-72,400426;POINT (-72400426 5340047)
MANAGUA LA 20;CARRERA 20 N 29-60;YOPAL;3212037370;BARES Y LICORES;5,331337;-72,391496;POINT (-72391496 5331337)
LICORERA BAR MI LINDA YOPAL 24 HORAS;CALLE 24 N. 26-32;YOPAL;3045424269;BARES Y LICORES;5,33877;-72,388358;POINT (-72388358 5338770)
CAFE BAR LA TRAMPA;CALLE 25 N. 6 - 95;YOPAL;3133912610;BARES Y LICORES;5,330526;-72,407372;POINT (-72407372 5330526)
LICORERA ALTOS DE MANARE;CARRERA 29 N. 31 - 21;YOPAL;3144367890;BARES Y LICORES;5,332635;-72,38102;POINT (-72381020 5332635)
POKER S BEER 2;CARRERA 2O N 16-78;YOPAL;3102751143;BARES Y LICORES;5,332941;-72,397622;POINT (-72397622 5332941)
LA ESTACION AKI;CARRERA 20 N. 27 - 12;YOPAL;3224672855;BARES Y LICORES;5,333187;-72,392822;POINT (-72392822 5333187)
CLUB DISCOTECA M.P;CARRERA 21 N 23-06;YOPAL;3106871217;BARES Y LICORES;5,337001;-72,393448;POINT (-72393448 5337001)
PARADISE CLUB YOPAL 2019;CALLE 31  5-17 LOCAL 1;YOPAL;3176450148;BARES Y LICORES;5,324441;-72,404814;POINT (-72404814 5324441)
MONGUITOÂ´S CAFE ROCK BAR;CALLE 38 N. 23A-18;YOPAL;3203044075;BARES Y LICORES;5,338303;-72,369343;POINT (-72369343 5338303)
DISCO BAR LA GRAN FARRA;CALLE 40 N 6-109;YOPAL;3124247621;BARES Y LICORES;5,31861;-72,400734;POINT (-72400734 5318610)
LICORES Y BAR LA OFICINA;CARRERA 6 N  30-73 LOCAL 101;YOPAL;3106131436;BARES Y LICORES;5,325412;-72,404002;POINT (-72404002 5325412)
EL RINCONCITO DE BOLAÃ‘ITOS;CARRERA 30 N 50 - 68;YOPAL;3138267825;BARES Y LICORES;5,323206;-72,371694;POINT (-72371694 5323206)
RECUERDOS DE ELLA EL RINCON;CALLE 4 N 4 - 09;YOPAL;3113162978;BARES Y LICORES;5,352734;-72,403131;POINT (-72403131 5352734)
PARRANDA Y SON;CALLE 29 N. 18-60;YOPAL;3178549673;BARES Y LICORES;5,331001;-72,393066;POINT (-72393066 5331001)
DISTRIBAR EL HALCON;CARRERA 19 N 27-76;YOPAL;3123813474;BARES Y LICORES;5,332153;-72,393231;POINT (-72393231 5332153)
LA CONGA.COM;CALLE 15 N 20 - 72;YOPAL;3112785107;BARES Y LICORES;5,342951;-72,397317;POINT (-72397317 5342951)
EL CACHO LICORERA BAR;CARRERA 20 N 13 - 29;YOPAL;3145795622;BARES Y LICORES;5,344298;-72,39841;POINT (-72398410 5344298)
BAR LA PROVINCIA E&J;CARRERA 6 N 28 02;YOPAL;3004408770;BARES Y LICORES;5,327522;-72,406046;POINT (-72406046 5327522)
DUBAI CLUB RESTAURANTE BAR;CALLE 5 N. 6 - 50;YOPAL;3105623073;BARES Y LICORES;5,351845;-72,401985;POINT (-72401985 5351845)
LA ULTIMA PAÂ´  LA SED;CARRERA 19 N 29 - 63;YOPAL;3103055735;BARES Y LICORES;5,330864;-72,392387;POINT (-72392387 5330864)
BAR LA CIMA DE MORICHAL;CARRERA 5 N 5 - 04;YOPAL;3213552053;BARES Y LICORES;5,330505;-72,410242;POINT (-72410242 5330505)
BAR DIMATE LA 29;CARRERA 29 N 36-32;YOPAL;3134106528;BARES Y LICORES;5,33271;-72,38103;POINT (-72381030 5332710)
EVALUNA BAR;CARRERA 7 N 29 06;YOPAL;3228017756;BARES Y LICORES;5,327365;-72,404324;POINT (-72404324 5327365)
BAR DUBAI PLAZ;CALLE 28 N. 18-70;YOPAL;3212728221;BARES Y LICORES;5,331854;-72,393487;POINT (-72393487 5331854)
BAR PAUTOS;CARRERA 19 N 26-10;YOPAL;3103079747;BARES Y LICORES;5,345931;-72,400614;POINT (-72400614 5345931)
PUNTO FIJO LOS OCALITOS;CARRERA 6 N 26 - 53;YOPAL;3183048424;BARES Y LICORES;5,328956;-72,406944;POINT (-72406944 5328956)
RUTA 20 BAR GUARITOS;CARRERA 20 N 26 - 16;YOPAL;3204749026;BARES Y LICORES;5,333927;-72,393172;POINT (-72393172 5333927)
CAFE BAR AINHOA;CARRERA 29 N 26-33;YOPAL;3133033277;BARES Y LICORES;5,338089;-72,384186;POINT (-72384186 5338089)
BAR EL CHAMO LA 27;CALLE 21 N. 27-03;YOPAL;3203263998;BARES Y LICORES;5,341466;-72,388937;POINT (-72388937 5341466)
BAR LA SOMBRA DEL VERANO;CARRERA 18 N 32-08;YOPAL;3212579748;BARES Y LICORES;5,328435;-72,392202;POINT (-72392202 5328435)
BILLAR POLY;TRANSVERSAL 5 NRO 34 39;YOPAL;3143483708;BARES Y LICORES;5,321762;-72,403347;POINT (-72403347 5321762)
CANTINASO BAR NÂ° 1;CALLE 21 N 16 24;YOPAL;3124261680;BARES Y LICORES;5,336394;-72,398348;POINT (-72398348 5336394)
DISTRIBUCIONES D&J;CARRERA 29 N. 35 - 64;YOPAL;3142212558;BARES Y LICORES;5,331758;-72,38055;POINT (-72380550 5331758)
24/7 LICORES MINI MARKET;CALLE 29A N 14 - 03;YOPAL;3123791748;BARES Y LICORES;5,329098;-72,398075;POINT (-72398075 5329098)
LA MARTINA YOPAL;CALLE 26 N 18 64;YOPAL;3107821002;BARES Y LICORES;5,33344;-72,394033;POINT (-72394033 5333440)
BILLARES PISO 2;CALLE 10 N 18 - 37 PISO 2;YOPAL;3219198089;BARES Y LICORES;5,345329;-72,402588;POINT (-72402588 5345329)
QUEBAR LABORATORIOS;CARRERA 20 N. 24-64;YOPAL;3203565507;BARES Y LICORES;5,335251;-72,393973;POINT (-72393973 5335251)
OLIMPO BAR JM;CARRERA 14 N 21-97;YOPAL;3213774942;BARES Y LICORES;5,335005;-72,399949;POINT (-72399949 5335005)
EL SOMBRIO CAFÃ‰ BAR;CARRERA 13 N 30-04;YOPAL;3132340748;BARES Y LICORES;5,328006;-72,398982;POINT (-72398982 5328006)
EU FOFINHO DA 51;CARRERA 44E N 33A - 11;YOPAL;3115222893;BARES Y LICORES;5,332866;-72,397547;POINT (-72397547 5332866)
CHIVAS LICORERA DE YOPAL;CALLE 60 N 2 - 22;YOPAL;3208774509;BARES Y LICORES;5,302097;-72,411579;POINT (-72411579 5302097)
FUENTE DE SODA CIELITO LINDO;CARRERA 33 N 30 - 04;YOPAL;3118080152;BARES Y LICORES;5,333495;-72,380413;POINT (-72380413 5333495)
BUDWEISER THE GUACAVA;CARRERA 17A N  29-58;YOPAL;3219425148;BARES Y LICORES;5,330075;-72,393761;POINT (-72393761 5330075)
RESTAURANTE BAR J Y G;CALLE 25 N 5-79;YOPAL;3206067658;BARES Y LICORES;5,329979;-72,408258;POINT (-72408258 5329979)
LICORERA BAR BUCAREST;CARRERA 29 N 31A-09;YOPAL;3183975981;BARES Y LICORES;5,332742;-72,380977;POINT (-72380977 5332742)
ESQUINA CRISTAL;CARRERA 17 N 19-03;YOPAL;3224591090;BARES Y LICORES;5,338391;-72,39848;POINT (-72398480 5338391)
LICORERA VEGUEROS BAR;CARRERA 29 N. 31B - 33;YOPAL;3133806855;BARES Y LICORES;5,332699;-72,380977;POINT (-72380977 5332699)
BAR CASABLANCA M.A;CALLE 30 N 20 -40;YOPAL;3102850962;BARES Y LICORES;5,331096;-72,390859;POINT (-72390859 5331096)
BAR EL DESAFIO LAS LLANERITAS;CARRERA  19 N 29-10;YOPAL;3132200820;BARES Y LICORES;5,331117;-72,392674;POINT (-72392674 5331117)
LA TAPITA 12;CALLE 5 N  4-49;YOPAL;3214799612;BARES Y LICORES;5,351835;-72,402071;POINT (-72402071 5351835)
BILLARES P&P YOPAL;CARRERA 5 N 27-77;YOPAL;3114819024;BARES Y LICORES;5,327209;-72,406994;POINT (-72406994 5327209)
CAFE BAR PICAPALO;CARRERA 6 N 30-34;YOPAL;3103208559;BARES Y LICORES;5,325573;-72,404463;POINT (-72404463 5325573)
LA TERRAZA LLANERA BAR;CARRERA 6 N 30-73 LOCAL 105;YOPAL;3115455172;BARES Y LICORES;5,325391;-72,40398;POINT (-72403980 5325391)
TATIS BAR LA ESQUINA;CALLE  25 N 7 - 09;YOPAL;3502263531;BARES Y LICORES;5,330622;-72,407021;POINT (-72407021 5330622)
BAR DAKARS;CARRERA 17 N 17-15;YOPAL;3123016788;BARES Y LICORES;5,341104;-72,399735;POINT (-72399735 5341104)
BAR LOS ACACIOS A.B.G;CALLE 39 N12-04;YOPAL;3125727811;BARES Y LICORES;5,318953;-72,397589;POINT (-72397589 5318953)
DISTRIBUIDORA EL OASIS CASANAREÃ‘O;CARRERA 17  N 22 - 47;YOPAL;3213301411;BARES Y LICORES;5,335552;-72,397069;POINT (-72397069 5335552)
BAR EL GUAVIO;CARRERA 20 N. 32 - 77;YOPAL;3164980903;BARES Y LICORES;5,328724;-72,389991;POINT (-72389991 5328724)
FUENTE DE SODA DON ALVARITO;CALLE 30 N 16A-04;YOPAL;3132513283;BARES Y LICORES;5,328917;-72,395756;POINT (-72395756 5328917)
BAR VAMONOS CANOA;CALLE 36 N 13 - 117 ESQUINA;YOPAL;3223363828;BARES Y LICORES;5,322769;-72,396657;POINT (-72396657 5322769)
BAR CATALEYA LA 7;CARRERA 7 N 45-93;YOPAL;3234692662;BARES Y LICORES;5,313921;-72,401861;POINT (-72401861 5313921)
CAFE BAR BOHEMIAS;CALLE 12 N 25 - 03;YOPAL;3234837288;BARES Y LICORES;5,347833;-72,394361;POINT (-72394361 5347833)
CALIFORNIA CAFE Y BAR;CALLE 24 N 15-04;YOPAL;3132576850;BARES Y LICORES;5,33409;-72,398303;POINT (-72398303 5334090)
BAR EL PARRANDERO L.R;CARRERA 11 N 45B - 05;YOPAL;3227350994;BARES Y LICORES;5,313778;-72,399907;POINT (-72399907 5313778)
LA NEVERITA JM;CALLE 39 N 11-85;YOPAL;3134043755;BARES Y LICORES;5,318915;-72,398188;POINT (-72398188 5318915)
7/24 GOOD VIBES;CARRERA 21 N 15-81;YOPAL;3214427244;BARES Y LICORES;5,342715;-72,396432;POINT (-72396432 5342715)
BAR EL ENCUENTRO DE LA 46;CALLE 46 N 10A - 03;YOPAL;3126357158;BARES Y LICORES;5,312546;-72,397858;POINT (-72397858 5312546)
BAR ROJAS DE PATIÃ‘O;CALLE 35 N 2-29;YOPAL;3224062102;BARES Y LICORES;5,332731;-72,380955;POINT (-72380955 5332731)
BAR DONDE RAFA LA 18;CARRERA 18 N 17 - 72;YOPAL;3222850072;BARES Y LICORES;5,339765;-72,398423;POINT (-72398423 5339765)
AVALON CLUB - DISCO BAR;CARRERA 19 N. 27-25;YOPAL;3125222767;BARES Y LICORES;5,332618;-72,393431;POINT (-72393431 5332618)
LICORERA LA 24 DEL LLANO;CALLE 24 N 10 - 33;YOPAL;3132195482;BARES Y LICORES;5,332737;-72,40346;POINT (-72403460 5332737)
BILLARES EL TAMBULL;CARRERA 7 N 27 - 94;YOPAL;3505229221;BARES Y LICORES;5,328509;-72,40544;POINT (-72405440 5328509)
BAR LA PIRAGUA DEL LLANO;CALLE 26 N 5A-11;YOPAL;3125851054;BARES Y LICORES;5,339531;-72,383234;POINT (-72383234 5339531)
CANDELARIA PUB HOUSE;CARRERA 20 N 30 - 21;YOPAL;3104886101;BARES Y LICORES;5,330698;-72,391028;POINT (-72391028 5330698)
DISTRIBUCIONES HOZKARD;CARRERA 20 N 29 - 04;YOPAL;3133488637;BARES Y LICORES;5,331759;-72,391804;POINT (-72391804 5331759)
BAR LAS PALOMAS LA CAMPIÃ‘A;CALLE 26 N. 08-05;YOPAL;3203451585;BARES Y LICORES;5,330439;-72,404386;POINT (-72404386 5330439)
LA TRAVESIA DEL LLANERO;CALLE 31 N 31-27;YOPAL;3143156712;BARES Y LICORES;5,335627;-72,380279;POINT (-72380279 5335627)
EL TROPICAL 4 ESQUINAS;CALLE 48 N 16 - 95;YOPAL;3123408161;BARES Y LICORES;5,311395;-72,400108;POINT (-72400108 5311395)
BEBIDAS FRIAS LOS PEREIRAS;CARRERA 20 N 28 - 05;YOPAL;3507373599;BARES Y LICORES;5,332557;-72,392078;POINT (-72392078 5332557)
BAR EL PRETINAZO VALLENATO;CARRERA 6 N 30 - 31;YOPAL;3144552070;BARES Y LICORES;5,325765;-72,40445;POINT (-72404450 5325765)
BAR LA POTRANCA;CALLE 36 N 12B -  28;YOPAL;3208436995;BARES Y LICORES;5,322614;-72,397793;POINT (-72397793 5322614)
ENRRUMBA 2;CARRERA 6 N 30-34;YOPAL;3107927490;BARES Y LICORES;5,325519;-72,404485;POINT (-72404485 5325519)
CAFE BAR BAHIA 19;CARRERA 19 N 25-75;YOPAL;3208947231;BARES Y LICORES;5,333849;-72,394107;POINT (-72394107 5333849)
AGORA LICORERA CAFE BAR;CALLE 40 N12-51;YOPAL;3102543815;BARES Y LICORES;5,318476;-72,397308;POINT (-72397308 5318476)
BAR EL TEKILAZO;CALLE 40 N. 4-166;YOPAL;3106733245;BARES Y LICORES;5,318822;-72,408874;POINT (-72408874 5318822)
DISCOTECA R.G;CALLE 31 N. 5-17 LOCAL 4;YOPAL;3143689248;BARES Y LICORES;5,324409;-72,405007;POINT (-72405007 5324409)
LA LLANERITA S.L.;CALLE 61 N 7A - OESTE  80;YOPAL;3212469027;BARES Y LICORES;5,30248;-72,415061;POINT (-72415061 5302480)
BSIDE BAR;CALLE 11 N 24 - 25;YOPAL;3166874601;BARES Y LICORES;5,348322;-72,39561;POINT (-72395610 5348322)
BEBIDAS J&J;CARRERA 17 N 16- 50;YOPAL;3108777732;BARES Y LICORES;5,340415;-72,399773;POINT (-72399773 5340415)
CAFE BAR CULTURA 15;DIAGONAL 15  N 9 - 03;YOPAL;3229029491;BARES Y LICORES;5,339532;-72,402108;POINT (-72402108 5339532)
LA CASA DE LOS PINOS;CARRERA 22 N 24-10;YOPAL;3204717982;BARES Y LICORES;5,336568;-72,392055;POINT (-72392055 5336568)
CAVALIER V.I.P;CALLE 17 N 19-12;YOPAL;3208073191;BARES Y LICORES;5,340856;-72,397839;POINT (-72397839 5340856)
CERVECERIA LUPE BEERHOUSE;CARRERA 23 N. 24-24;YOPAL;3007187010;BARES Y LICORES;5,336943;-72,39075;POINT (-72390750 5336943)
BAR EL DESQUITE FA;CARRERA 19 N 29 -06;YOPAL;2122093954;BARES Y LICORES;5,330816;-72,392396;POINT (-72392396 5330816)
B&M BAR RESTAURANTE;CARRERA 19 N 26-55;YOPAL;3218010779;BARES Y LICORES;5,333377;-72,393746;POINT (-72393746 5333377)
LICORERA BAR MY CONSUELO;CALLE 24 N 26 - 68;YOPAL;3132537431;BARES Y LICORES;5,338901;-72,388099;POINT (-72388099 5338901)
CARORA BAR;CARRERA 29  N 30 A   -03;YOPAL;3228895382;BARES Y LICORES;5,339773;-72,38551;POINT (-72385510 5339773)
EL CHIRIPAZO POKER;CALLE 23 N 10 - 90;YOPAL;3107714311;BARES Y LICORES;5,333826;-72,40318;POINT (-72403180 5333826)
BAR LA SOGA;CALLE 23 N 10-81;YOPAL;3204006435;BARES Y LICORES;5,33383;-72,403236;POINT (-72403236 5333830)
PLANETA BAR YOPAL;CALLE 23 N 28 - 02;YOPAL;3144817998;BARES Y LICORES;5,340319;-72,387484;POINT (-72387484 5340319)
BILLAR POOL RECUERDOS DE ELLA;CALLE 30 N 19-49;YOPAL;3202569030;BARES Y LICORES;5,33086;-72,391989;POINT (-72391989 5330860)
RANCHO Y LICORES 7/24;CALLE 16 N 21-05;YOPAL;3125806700;BARES Y LICORES;5,342658;-72,39648;POINT (-72396480 5342658)
BAR SAN JOSELITO;CALLE 37 N. 14-76;YOPAL;3104980285;BARES Y LICORES;5,321714;-72,396296;POINT (-72396296 5321714)
MANHATTAN BAR JDC;CARRERA 18 N 14 - 02;YOPAL;6327035;BARES Y LICORES;5,342672;-72,399951;POINT (-72399951 5342672)
BAR COMIDAS RÃPIDAS CIELITO LINDO;CARRERA 23 N. 24-74;YOPAL;3213947542;BARES Y LICORES;5,336892;-72,39074;POINT (-72390740 5336892)
LA GUARDERÃA BAR;CARRERA 20 N 27 - 44;YOPAL;3217570039;BARES Y LICORES;5,332903;-72,392616;POINT (-72392616 5332903)
DISTRIBUIDORA DE CERVEZA R & R;CALLE 30 NO. 12-27;YOPAL;3041694761;BARES Y LICORES;5,327958;-72,400016;POINT (-72400016 5327958)
BEER OCLOCK;CALLE 18 N 19 A - 04;YOPAL;3145968454;BARES Y LICORES;5,340197;-72,397098;POINT (-72397098 5340197)
BILLARES DIVAS;CALLE 27 N. 22-18;YOPAL;3125871716;BARES Y LICORES;5,33424;-72,390687;POINT (-72390687 5334240)
YO PAL BAR SOCIAL CLUB;CALLE 30 N 20-40;YOPAL;3184105184;BARES Y LICORES;5,33101;-72,390923;POINT (-72390923 5331010)
OLD BARR PAOLA;CARRERA 13 N 32 - 10;YOPAL;3103303685;BARES Y LICORES;5,325934;-72,398335;POINT (-72398335 5325934)
BILLARES MALDONADO YOPAL;CALLE 12 N 18-63;YOPAL;3116202311;BARES Y LICORES;5,344644;-72,400387;POINT (-72400387 5344644)
BAR MICHELANDIA;CARRERA 20 N 33-68;YOPAL;3102909550;BARES Y LICORES;5,327862;-72,38986;POINT (-72389860 5327862)
BAR LAS PALMITAS PUB;CALLE 40 N 12 - 111;YOPAL;3227723238;BARES Y LICORES;5,318656;-72,396925;POINT (-72396925 5318656)
BILLARES EL BAMBU;TRANSVERSAL 18  28-41;YOPAL;3164952612;BARES Y LICORES;5,328368;-72,411017;POINT (-72411017 5328368)
BAR LOS MANGOS YOPAL;CARRERA 30 N 25A- 34;YOPAL;3023506089;BARES Y LICORES;5,339308;-72,383995;POINT (-72383995 5339308)
LICORERA BAR SALVATORE;CALLE 21 N 21A-22;YOPAL;3209182046;BARES Y LICORES;5,338593;-72,393703;POINT (-72393703 5338593)
BAR DULIS;CALLE 21 N 14-79;YOPAL;3143217741;BARES Y LICORES;5,336013;-72,399802;POINT (-72399802 5336013)
BAR EL CHUZO DE LA MONA;CALLE 33 N 6-114;YOPAL;3205463017;BARES Y LICORES;5,323613;-72,402789;POINT (-72402789 5323613)
RESTAURANTE BAR LA SEDE J&E;CALLE 36 N 17 - 74;YOPAL;3212815322;BARES Y LICORES;5,329954;-72,381927;POINT (-72381927 5329954)
LICORERA Y CIGARRERIA LOS CRIOLLOS;CALLE 24 N 21 - 32;YOPAL;3212635469;BARES Y LICORES;5,336243;-72,392921;POINT (-72392921 5336243)
CANTINA BAR JYD;CALLE 11 N 18 - 36;YOPAL;3162243447;BARES Y LICORES;5,345002;-72,400915;POINT (-72400915 5345002)
CORONA CAFÃ‰ BAR PUB;CARRERA 19A N 26 - 04;YOPAL;3214734511;BARES Y LICORES;5,327495;-72,38991;POINT (-72389910 5327495)
BAR EL CHIQUIS;CARRERA 13 N 32-10;YOPAL;3128194422;BARES Y LICORES;5,325945;-72,398463;POINT (-72398463 5325945)
