RAZON SOCIAL,DIRECCIÓN,MUNICIPIO,TEL-COM-1,ACTIVIDAD POR SECTORES - CIIU 1,LATITUD,LONGITUD,localizacion
SOLU BAR,CALLE 12  N 18-32,YOPAL,3228589663,BARES Y LICORES,"5,344,193","-72,400,441",POINT (-72400441 5344193)
TEDDY POOL EXCLUSIVE,CARRERA 15A N 34-64,YOPAL,3138801347,BARES Y LICORES,"5,325,270","-72,393,339",POINT (-72393339 5325270)
FUENTE DE SODA AROMA,CARRERA 7 N 42A - 02,YOPAL,3124737262,BARES Y LICORES,"5,329,418","-72,406,170",POINT (-72406170 5329418)
SOY EL REY,CARRERA 18  N 9-38,YOPAL,3124327916,BARES Y LICORES,"5,346,560","-72,401,954",POINT (-72401954 5346560)
WIDA BAR,CALLE 23 N 28-02,YOPAL,3124195139,BARES Y LICORES,"5,340,277","-72,387,355",POINT (-72387355 5340277)
SAYUKO BAR,CARRERA 6 N 26-37,YOPAL,3153026625,BARES Y LICORES,"5,329,027","-72,407,081",POINT (-72407081 5329027)
DONDE ISA BAR,CALLE 26 N 17-98,YOPAL,3105709009,BARES Y LICORES,"5,332,745","-72,395,759",POINT (-72395759 5332745)
MIS ANTIGUEDADES BAR,CALLE 27 N 6 - 17,YOPAL,3204395642,BARES Y LICORES,"5,328,513","-72,406,581",POINT (-72406581 5328513)
CAFE BAR RT,CARRERA 20 N 15 PLAZOLETA LOCAL 1,YOPAL,3124954965,BARES Y LICORES,"5,344,813","-72,398,705",POINT (-72398705 5344813)
BAR MARTICA LA ESQUINA,CARRERA 5 N 42-03,YOPAL,3202273302,BARES Y LICORES,"5,330,601","-72,410,156",POINT (-72410156 5330601)
LICORERA BAR TUSA LA ORIGINAL,CALLE 16 N 21-125,YOPAL,3504693535,BARES Y LICORES,"5,343,027","-72,395,650",POINT (-72395650 5343027)
LICORERA BAR LOS RECUERDOS DE MARTINA,CARRERA 19 N 29-64,YOPAL,3154953923,BARES Y LICORES,"5,330,729","-72,392,530",POINT (-72392530 5330729)
LICORERIA BAR LA CASA DE LA CAÃ‘A,CARRERA 19  N 23-06,YOPAL,3232842881,BARES Y LICORES,"5,335,712","-72,395,276",POINT (-72395276 5335712)
BILLARES CRAVO SUR,CARRERA 31 N  29-78,YOPAL,3108154157,BARES Y LICORES,"5,336,832","-72,381,317",POINT (-72381317 5336832)
PEOPLE BAR LICORERA LA 19,CARRERA 19 N 26-05,YOPAL,3183876989,BARES Y LICORES,"5,333,598","-72,394,024",POINT (-72394024 5333598)
MANGO BICHE BAR YOPAL,CARRERA 29 N 30A-03,YOPAL,3108018044,BARES Y LICORES,"5,332,827","-72,380,934",POINT (-72380934 5332827)
LA CANTALETA LICORERA BAR,CARRERA 19 N. 20-53,YOPAL,3202697165,BARES Y LICORES,"5,338,199","-72,396,141",POINT (-72396141 5338199)
BAR RESTAURANTE LOS TRES REYES,CARRERA 29 N 50-86,YOPAL,3114558377,BARES Y LICORES,"5,333,937","-72,378,362",POINT (-72378362 5333937)
BILLARES LIVERPOOL PUNTO 21,CARRERA 21 N 16-28,YOPAL,3104003212,BARES Y LICORES,"5,342,203","-72,396,669",POINT (-72396669 5342203)
DISCOTECA CLUB SOFIA,CALLE 40 N 4 - 168,YOPAL,3138020414,BARES Y LICORES,"5,318,769","-72,408,821",POINT (-72408821 5318769)
RESTAURANTE BAR DONDE BETO,CARRERA 20 N 34 - 04,YOPAL,3125874462,BARES Y LICORES,"5,327,824","-72,389,510",POINT (-72389510 5327824)
BAR KITOZ BAR,CARRERA 16 N 17-72,YOPAL,3102778357,BARES Y LICORES,"5,340,047","-72,400,426",POINT (-72400426 5340047)
MANAGUA LA 20,CARRERA 20 N 29-60,YOPAL,3212037370,BARES Y LICORES,"5,331,337","-72,391,496",POINT (-72391496 5331337)
LICORERA BAR MI LINDA YOPAL 24 HORAS,CALLE 24 N. 26-32,YOPAL,3045424269,BARES Y LICORES,"5,338,770","-72,388,358",POINT (-72388358 5338770)
CAFE BAR LA TRAMPA,CALLE 25 N. 6 - 95,YOPAL,3133912610,BARES Y LICORES,"5,330,526","-72,407,372",POINT (-72407372 5330526)
LICORERA ALTOS DE MANARE,CARRERA 29 N. 31 - 21,YOPAL,3144367890,BARES Y LICORES,"5,332,635","-72,381,020",POINT (-72381020 5332635)
POKER S BEER 2,CARRERA 2O N 16-78,YOPAL,3102751143,BARES Y LICORES,"5,332,941","-72,397,622",POINT (-72397622 5332941)
LA ESTACION AKI,CARRERA 20 N. 27 - 12,YOPAL,3224672855,BARES Y LICORES,"5,333,187","-72,392,822",POINT (-72392822 5333187)
CLUB DISCOTECA M.P,CARRERA 21 N 23-06,YOPAL,3106871217,BARES Y LICORES,"5,337,001","-72,393,448",POINT (-72393448 5337001)
PARADISE CLUB YOPAL 2019,CALLE 31  5-17 LOCAL 1,YOPAL,3176450148,BARES Y LICORES,"5,324,441","-72,404,814",POINT (-72404814 5324441)
MONGUITOÂ´S CAFE ROCK BAR,CALLE 38 N. 23A-18,YOPAL,3203044075,BARES Y LICORES,"5,338,303","-72,369,343",POINT (-72369343 5338303)
DISCO BAR LA GRAN FARRA,CALLE 40 N 6-109,YOPAL,3124247621,BARES Y LICORES,"5,318,610","-72,400,734",POINT (-72400734 5318610)
LICORES Y BAR LA OFICINA,CARRERA 6 N  30-73 LOCAL 101,YOPAL,3106131436,BARES Y LICORES,"5,325,412","-72,404,002",POINT (-72404002 5325412)
EL RINCONCITO DE BOLAÃ‘ITOS,CARRERA 30 N 50 - 68,YOPAL,3138267825,BARES Y LICORES,"5,323,206","-72,371,694",POINT (-72371694 5323206)
RECUERDOS DE ELLA EL RINCON,CALLE 4 N 4 - 09,YOPAL,3113162978,BARES Y LICORES,"5,352,734","-72,403,131",POINT (-72403131 5352734)
PARRANDA Y SON,CALLE 29 N. 18-60,YOPAL,3178549673,BARES Y LICORES,"5,331,001","-72,393,066",POINT (-72393066 5331001)
DISTRIBAR EL HALCON,CARRERA 19 N 27-76,YOPAL,3123813474,BARES Y LICORES,"5,332,153","-72,393,231",POINT (-72393231 5332153)
LA CONGA.COM,CALLE 15 N 20 - 72,YOPAL,3112785107,BARES Y LICORES,"5,342,951","-72,397,317",POINT (-72397317 5342951)
EL CACHO LICORERA BAR,CARRERA 20 N 13 - 29,YOPAL,3145795622,BARES Y LICORES,"5,344,298","-72,398,410",POINT (-72398410 5344298)
BAR LA PROVINCIA E&J,CARRERA 6 N 28 02,YOPAL,3004408770,BARES Y LICORES,"5,327,522","-72,406,046",POINT (-72406046 5327522)
DUBAI CLUB RESTAURANTE BAR,CALLE 5 N. 6 - 50,YOPAL,3105623073,BARES Y LICORES,"5,351,845","-72,401,985",POINT (-72401985 5351845)
LA ULTIMA PAÂ´  LA SED,CARRERA 19 N 29 - 63,YOPAL,3103055735,BARES Y LICORES,"5,330,864","-72,392,387",POINT (-72392387 5330864)
BAR LA CIMA DE MORICHAL,CARRERA 5 N 5 - 04,YOPAL,3213552053,BARES Y LICORES,"5,330,505","-72,410,242",POINT (-72410242 5330505)
BAR DIMATE LA 29,CARRERA 29 N 36-32,YOPAL,3134106528,BARES Y LICORES,"5,332,710","-72,381,030",POINT (-72381030 5332710)
EVALUNA BAR,CARRERA 7 N 29 06,YOPAL,3228017756,BARES Y LICORES,"5,327,365","-72,404,324",POINT (-72404324 5327365)
BAR DUBAI PLAZ,CALLE 28 N. 18-70,YOPAL,3212728221,BARES Y LICORES,"5,331,854","-72,393,487",POINT (-72393487 5331854)
BAR PAUTOS,CARRERA 19 N 26-10,YOPAL,3103079747,BARES Y LICORES,"5,345,931","-72,400,614",POINT (-72400614 5345931)
PUNTO FIJO LOS OCALITOS,CARRERA 6 N 26 - 53,YOPAL,3183048424,BARES Y LICORES,"5,328,956","-72,406,944",POINT (-72406944 5328956)
RUTA 20 BAR GUARITOS,CARRERA 20 N 26 - 16,YOPAL,3204749026,BARES Y LICORES,"5,333,927","-72,393,172",POINT (-72393172 5333927)
CAFE BAR AINHOA,CARRERA 29 N 26-33,YOPAL,3133033277,BARES Y LICORES,"5,338,089","-72,384,186",POINT (-72384186 5338089)
BAR EL CHAMO LA 27,CALLE 21 N. 27-03,YOPAL,3203263998,BARES Y LICORES,"5,341,466","-72,388,937",POINT (-72388937 5341466)
BAR LA SOMBRA DEL VERANO,CARRERA 18 N 32-08,YOPAL,3212579748,BARES Y LICORES,"5,328,435","-72,392,202",POINT (-72392202 5328435)
BILLAR POLY,TRANSVERSAL 5 NRO 34 39,YOPAL,3143483708,BARES Y LICORES,"5,321,762","-72,403,347",POINT (-72403347 5321762)
CANTINASO BAR NÂ° 1,CALLE 21 N 16 24,YOPAL,3124261680,BARES Y LICORES,"5,336,394","-72,398,348",POINT (-72398348 5336394)
DISTRIBUCIONES D&J,CARRERA 29 N. 35 - 64,YOPAL,3142212558,BARES Y LICORES,"5,331,758","-72,380,550",POINT (-72380550 5331758)
24/7 LICORES MINI MARKET,CALLE 29A N 14 - 03,YOPAL,3123791748,BARES Y LICORES,"5,329,098","-72,398,075",POINT (-72398075 5329098)
LA MARTINA YOPAL,CALLE 26 N 18 64,YOPAL,3107821002,BARES Y LICORES,"5,333,440","-72,394,033",POINT (-72394033 5333440)
BILLARES PISO 2,CALLE 10 N 18 - 37 PISO 2,YOPAL,3219198089,BARES Y LICORES,"5,345,329","-72,402,588",POINT (-72402588 5345329)
QUEBAR LABORATORIOS,CARRERA 20 N. 24-64,YOPAL,3203565507,BARES Y LICORES,"5,335,251","-72,393,973",POINT (-72393973 5335251)
OLIMPO BAR JM,CARRERA 14 N 21-97,YOPAL,3213774942,BARES Y LICORES,"5,335,005","-72,399,949",POINT (-72399949 5335005)
EL SOMBRIO CAFÃ‰ BAR,CARRERA 13 N 30-04,YOPAL,3132340748,BARES Y LICORES,"5,328,006","-72,398,982",POINT (-72398982 5328006)
EU FOFINHO DA 51,CARRERA 44E N 33A - 11,YOPAL,3115222893,BARES Y LICORES,"5,332,866","-72,397,547",POINT (-72397547 5332866)
CHIVAS LICORERA DE YOPAL,CALLE 60 N 2 - 22,YOPAL,3208774509,BARES Y LICORES,"5,302,097","-72,411,579",POINT (-72411579 5302097)
FUENTE DE SODA CIELITO LINDO,CARRERA 33 N 30 - 04,YOPAL,3118080152,BARES Y LICORES,"5,333,495","-72,380,413",POINT (-72380413 5333495)
BUDWEISER THE GUACAVA,CARRERA 17A N  29-58,YOPAL,3219425148,BARES Y LICORES,"5,330,075","-72,393,761",POINT (-72393761 5330075)
RESTAURANTE BAR J Y G,CALLE 25 N 5-79,YOPAL,3206067658,BARES Y LICORES,"5,329,979","-72,408,258",POINT (-72408258 5329979)
LICORERA BAR BUCAREST,CARRERA 29 N 31A-09,YOPAL,3183975981,BARES Y LICORES,"5,332,742","-72,380,977",POINT (-72380977 5332742)
ESQUINA CRISTAL,CARRERA 17 N 19-03,YOPAL,3224591090,BARES Y LICORES,"5,338,391","-72,398,480",POINT (-72398480 5338391)
LICORERA VEGUEROS BAR,CARRERA 29 N. 31B - 33,YOPAL,3133806855,BARES Y LICORES,"5,332,699","-72,380,977",POINT (-72380977 5332699)
BAR CASABLANCA M.A,CALLE 30 N 20 -40,YOPAL,3102850962,BARES Y LICORES,"5,331,096","-72,390,859",POINT (-72390859 5331096)
BAR EL DESAFIO LAS LLANERITAS,CARRERA  19 N 29-10,YOPAL,3132200820,BARES Y LICORES,"5,331,117","-72,392,674",POINT (-72392674 5331117)
LA TAPITA 12,CALLE 5 N  4-49,YOPAL,3214799612,BARES Y LICORES,"5,351,835","-72,402,071",POINT (-72402071 5351835)
BILLARES P&P YOPAL,CARRERA 5 N 27-77,YOPAL,3114819024,BARES Y LICORES,"5,327,209","-72,406,994",POINT (-72406994 5327209)
CAFE BAR PICAPALO,CARRERA 6 N 30-34,YOPAL,3103208559,BARES Y LICORES,"5,325,573","-72,404,463",POINT (-72404463 5325573)
LA TERRAZA LLANERA BAR,CARRERA 6 N 30-73 LOCAL 105,YOPAL,3115455172,BARES Y LICORES,"5,325,391","-72,403,980",POINT (-72403980 5325391)
TATIS BAR LA ESQUINA,CALLE  25 N 7 - 09,YOPAL,3502263531,BARES Y LICORES,"5,330,622","-72,407,021",POINT (-72407021 5330622)
BAR DAKARS,CARRERA 17 N 17-15,YOPAL,3123016788,BARES Y LICORES,"5,341,104","-72,399,735",POINT (-72399735 5341104)
BAR LOS ACACIOS A.B.G,CALLE 39 N12-04,YOPAL,3125727811,BARES Y LICORES,"5,318,953","-72,397,589",POINT (-72397589 5318953)
DISTRIBUIDORA EL OASIS CASANAREÃ‘O,CARRERA 17  N 22 - 47,YOPAL,3213301411,BARES Y LICORES,"5,335,552","-72,397,069",POINT (-72397069 5335552)
BAR EL GUAVIO,CARRERA 20 N. 32 - 77,YOPAL,3164980903,BARES Y LICORES,"5,328,724","-72,389,991",POINT (-72389991 5328724)
FUENTE DE SODA DON ALVARITO,CALLE 30 N 16A-04,YOPAL,3132513283,BARES Y LICORES,"5,328,917","-72,395,756",POINT (-72395756 5328917)
BAR VAMONOS CANOA,CALLE 36 N 13 - 117 ESQUINA,YOPAL,3223363828,BARES Y LICORES,"5,322,769","-72,396,657",POINT (-72396657 5322769)
BAR CATALEYA LA 7,CARRERA 7 N 45-93,YOPAL,3234692662,BARES Y LICORES,"5,313,921","-72,401,861",POINT (-72401861 5313921)
CAFE BAR BOHEMIAS,CALLE 12 N 25 - 03,YOPAL,3234837288,BARES Y LICORES,"5,347,833","-72,394,361",POINT (-72394361 5347833)
CALIFORNIA CAFE Y BAR,CALLE 24 N 15-04,YOPAL,3132576850,BARES Y LICORES,"5,334,090","-72,398,303",POINT (-72398303 5334090)
BAR EL PARRANDERO L.R,CARRERA 11 N 45B - 05,YOPAL,3227350994,BARES Y LICORES,"5,313,778","-72,399,907",POINT (-72399907 5313778)
LA NEVERITA JM,CALLE 39 N 11-85,YOPAL,3134043755,BARES Y LICORES,"5,318,915","-72,398,188",POINT (-72398188 5318915)
7/24 GOOD VIBES,CARRERA 21 N 15-81,YOPAL,3214427244,BARES Y LICORES,"5,342,715","-72,396,432",POINT (-72396432 5342715)
BAR EL ENCUENTRO DE LA 46,CALLE 46 N 10A - 03,YOPAL,3126357158,BARES Y LICORES,"5,312,546","-72,397,858",POINT (-72397858 5312546)
BAR ROJAS DE PATIÃ‘O,CALLE 35 N 2-29,YOPAL,3224062102,BARES Y LICORES,"5,332,731","-72,380,955",POINT (-72380955 5332731)
BAR DONDE RAFA LA 18,CARRERA 18 N 17 - 72,YOPAL,3222850072,BARES Y LICORES,"5,339,765","-72,398,423",POINT (-72398423 5339765)
AVALON CLUB - DISCO BAR,CARRERA 19 N. 27-25,YOPAL,3125222767,BARES Y LICORES,"5,332,618","-72,393,431",POINT (-72393431 5332618)
LICORERA LA 24 DEL LLANO,CALLE 24 N 10 - 33,YOPAL,3132195482,BARES Y LICORES,"5,332,737","-72,403,460",POINT (-72403460 5332737)
BILLARES EL TAMBULL,CARRERA 7 N 27 - 94,YOPAL,3505229221,BARES Y LICORES,"5,328,509","-72,405,440",POINT (-72405440 5328509)
BAR LA PIRAGUA DEL LLANO,CALLE 26 N 5A-11,YOPAL,3125851054,BARES Y LICORES,"5,339,531","-72,383,234",POINT (-72383234 5339531)
CANDELARIA PUB HOUSE,CARRERA 20 N 30 - 21,YOPAL,3104886101,BARES Y LICORES,"5,330,698","-72,391,028",POINT (-72391028 5330698)
DISTRIBUCIONES HOZKARD,CARRERA 20 N 29 - 04,YOPAL,3133488637,BARES Y LICORES,"5,331,759","-72,391,804",POINT (-72391804 5331759)
BAR LAS PALOMAS LA CAMPIÃ‘A,CALLE 26 N. 08-05,YOPAL,3203451585,BARES Y LICORES,"5,330,439","-72,404,386",POINT (-72404386 5330439)
LA TRAVESIA DEL LLANERO,CALLE 31 N 31-27,YOPAL,3143156712,BARES Y LICORES,"5,335,627","-72,380,279",POINT (-72380279 5335627)
EL TROPICAL 4 ESQUINAS,CALLE 48 N 16 - 95,YOPAL,3123408161,BARES Y LICORES,"5,311,395","-72,400,108",POINT (-72400108 5311395)
BEBIDAS FRIAS LOS PEREIRAS,CARRERA 20 N 28 - 05,YOPAL,3507373599,BARES Y LICORES,"5,332,557","-72,392,078",POINT (-72392078 5332557)
BAR EL PRETINAZO VALLENATO,CARRERA 6 N 30 - 31,YOPAL,3144552070,BARES Y LICORES,"5,325,765","-72,404,450",POINT (-72404450 5325765)
BAR LA POTRANCA,CALLE 36 N 12B -  28,YOPAL,3208436995,BARES Y LICORES,"5,322,614","-72,397,793",POINT (-72397793 5322614)
ENRRUMBA 2,CARRERA 6 N 30-34,YOPAL,3107927490,BARES Y LICORES,"5,325,519","-72,404,485",POINT (-72404485 5325519)
CAFE BAR BAHIA 19,CARRERA 19 N 25-75,YOPAL,3208947231,BARES Y LICORES,"5,333,849","-72,394,107",POINT (-72394107 5333849)
AGORA LICORERA CAFE BAR,CALLE 40 N12-51,YOPAL,3102543815,BARES Y LICORES,"5,318,476","-72,397,308",POINT (-72397308 5318476)
BAR EL TEKILAZO,CALLE 40 N. 4-166,YOPAL,3106733245,BARES Y LICORES,"5,318,822","-72,408,874",POINT (-72408874 5318822)
DISCOTECA R.G,CALLE 31 N. 5-17 LOCAL 4,YOPAL,3143689248,BARES Y LICORES,"5,324,409","-72,405,007",POINT (-72405007 5324409)
LA LLANERITA S.L.,CALLE 61 N 7A - OESTE  80,YOPAL,3212469027,BARES Y LICORES,"5,302,480","-72,415,061",POINT (-72415061 5302480)
BSIDE BAR,CALLE 11 N 24 - 25,YOPAL,3166874601,BARES Y LICORES,"5,348,322","-72,395,610",POINT (-72395610 5348322)
BEBIDAS J&J,CARRERA 17 N 16- 50,YOPAL,3108777732,BARES Y LICORES,"5,340,415","-72,399,773",POINT (-72399773 5340415)
CAFE BAR CULTURA 15,DIAGONAL 15  N 9 - 03,YOPAL,3229029491,BARES Y LICORES,"5,339,532","-72,402,108",POINT (-72402108 5339532)
LA CASA DE LOS PINOS,CARRERA 22 N 24-10,YOPAL,3204717982,BARES Y LICORES,"5,336,568","-72,392,055",POINT (-72392055 5336568)
CAVALIER V.I.P,CALLE 17 N 19-12,YOPAL,3208073191,BARES Y LICORES,"5,340,856","-72,397,839",POINT (-72397839 5340856)
CERVECERIA LUPE BEERHOUSE,CARRERA 23 N. 24-24,YOPAL,3007187010,BARES Y LICORES,"5,336,943","-72,390,750",POINT (-72390750 5336943)
BAR EL DESQUITE FA,CARRERA 19 N 29 -06,YOPAL,2122093954,BARES Y LICORES,"5,330,816","-72,392,396",POINT (-72392396 5330816)
B&M BAR RESTAURANTE,CARRERA 19 N 26-55,YOPAL,3218010779,BARES Y LICORES,"5,333,377","-72,393,746",POINT (-72393746 5333377)
LICORERA BAR MY CONSUELO,CALLE 24 N 26 - 68,YOPAL,3132537431,BARES Y LICORES,"5,338,901","-72,388,099",POINT (-72388099 5338901)
CARORA BAR,CARRERA 29  N 30 A   -03,YOPAL,3228895382,BARES Y LICORES,"5,339,773","-72,385,510",POINT (-72385510 5339773)
EL CHIRIPAZO POKER,CALLE 23 N 10 - 90,YOPAL,3107714311,BARES Y LICORES,"5,333,826","-72,403,180",POINT (-72403180 5333826)
BAR LA SOGA,CALLE 23 N 10-81,YOPAL,3204006435,BARES Y LICORES,"5,333,830","-72,403,236",POINT (-72403236 5333830)
PLANETA BAR YOPAL,CALLE 23 N 28 - 02,YOPAL,3144817998,BARES Y LICORES,"5,340,319","-72,387,484",POINT (-72387484 5340319)
BILLAR POOL RECUERDOS DE ELLA,CALLE 30 N 19-49,YOPAL,3202569030,BARES Y LICORES,"5,330,860","-72,391,989",POINT (-72391989 5330860)
RANCHO Y LICORES 7/24,CALLE 16 N 21-05,YOPAL,3125806700,BARES Y LICORES,"5,342,658","-72,396,480",POINT (-72396480 5342658)
BAR SAN JOSELITO,CALLE 37 N. 14-76,YOPAL,3104980285,BARES Y LICORES,"5,321,714","-72,396,296",POINT (-72396296 5321714)
MANHATTAN BAR JDC,CARRERA 18 N 14 - 02,YOPAL,6327035,BARES Y LICORES,"5,342,672","-72,399,951",POINT (-72399951 5342672)
BAR COMIDAS RÃPIDAS CIELITO LINDO,CARRERA 23 N. 24-74,YOPAL,3213947542,BARES Y LICORES,"5,336,892","-72,390,740",POINT (-72390740 5336892)
LA GUARDERÃA BAR,CARRERA 20 N 27 - 44,YOPAL,3217570039,BARES Y LICORES,"5,332,903","-72,392,616",POINT (-72392616 5332903)
DISTRIBUIDORA DE CERVEZA R & R,CALLE 30 NO. 12-27,YOPAL,3041694761,BARES Y LICORES,"5,327,958","-72,400,016",POINT (-72400016 5327958)
BEER OCLOCK,CALLE 18 N 19 A - 04,YOPAL,3145968454,BARES Y LICORES,"5,340,197","-72,397,098",POINT (-72397098 5340197)
BILLARES DIVAS,CALLE 27 N. 22-18,YOPAL,3125871716,BARES Y LICORES,"5,334,240","-72,390,687",POINT (-72390687 5334240)
YO PAL BAR SOCIAL CLUB,CALLE 30 N 20-40,YOPAL,3184105184,BARES Y LICORES,"5,331,010","-72,390,923",POINT (-72390923 5331010)
OLD BARR PAOLA,CARRERA 13 N 32 - 10,YOPAL,3103303685,BARES Y LICORES,"5,325,934","-72,398,335",POINT (-72398335 5325934)
BILLARES MALDONADO YOPAL,CALLE 12 N 18-63,YOPAL,3116202311,BARES Y LICORES,"5,344,644","-72,400,387",POINT (-72400387 5344644)
BAR MICHELANDIA,CARRERA 20 N 33-68,YOPAL,3102909550,BARES Y LICORES,"5,327,862","-72,389,860",POINT (-72389860 5327862)
BAR LAS PALMITAS PUB,CALLE 40 N 12 - 111,YOPAL,3227723238,BARES Y LICORES,"5,318,656","-72,396,925",POINT (-72396925 5318656)
BILLARES EL BAMBU,TRANSVERSAL 18  28-41,YOPAL,3164952612,BARES Y LICORES,"5,328,368","-72,411,017",POINT (-72411017 5328368)
BAR LOS MANGOS YOPAL,CARRERA 30 N 25A- 34,YOPAL,3023506089,BARES Y LICORES,"5,339,308","-72,383,995",POINT (-72383995 5339308)
LICORERA BAR SALVATORE,CALLE 21 N 21A-22,YOPAL,3209182046,BARES Y LICORES,"5,338,593","-72,393,703",POINT (-72393703 5338593)
BAR DULIS,CALLE 21 N 14-79,YOPAL,3143217741,BARES Y LICORES,"5,336,013","-72,399,802",POINT (-72399802 5336013)
