ORGANIZACIÓN JURÍDICA,CATEGORÍA,RAZÓN SOCIAL,NIT,DIRECCIÓN,BARRIO,TELÉFONO CONTACTO,EMAIL,PERSONAL,LATITUD,LONGITUD,LOCALIZACIÓN
ESTABLECIMIENTO,No Aplica,SERVI-LIMPIEZA J.D.,741802877,CALLE 24 17A-15 LOCAL 101,00045 - BRR LA ESPERANZA,6345495,servilimpiezajd@gmail.com,1,5.3346749,-72.3961984,POINT (-72.3961984 5.3346749)
ESTABLECIMIENTO,No Aplica,VETERINARIA AGRO MAS,94308067,CALLE 10  17-57,00026 - BRR EL CENTRO,3144444323,agromasyopal@hotmail.com,5,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA COOPSALUD,194134171,CARRERA 19 15-32,00026 - BRR EL CENTRO,3108025004,almoro60@hotmail.com,4,5.3423161,-72.3985936,POINT (-72.3985936 5.3423161)
ESTABLECIMIENTO,No Aplica,IMAGINARTE DEL LLANO,400335481,CARRERA 18 NO. 13-25,00059 - BRR LOS LIBERTADORES,3103379794,marihernandez_35@hotmail.com,1,5.3431895,-72.4003169,POINT (-72.4003169 5.3431895)
ESTABLECIMIENTO,No Aplica,DROGUERIA BRISAS DEL LLANO,881777101,DIAG. 30  TRANSV. 7A-02,00010 - BRR CASIMENA I,6340382,billion23@hotmail.com,0,5.3230332,-72.4014893,POINT (-72.4014893 5.3230332)
ESTABLECIMIENTO,No Aplica,COMERCIALIZADORA Y DISTRIBUIDORA MANARE  FARMAPOPULARES,40682115,CALLE 19 N.  23A 02,00006 - BRR BICENTENARIO,3102053649,henrycelymedrano82@gmail.com,0,5.3415024,-72.3927359,POINT (-72.3927359 5.3415024)
ESTABLECIMIENTO,No Aplica,SUPER DROGAS JULIANA,402767140,CALLE 20 N 20 47,00030 - BRR EL GAVAN,3208911678,lili704@live.com,2,5.3391527,-72.3954124,POINT (-72.3954124 5.3391527)
ESTABLECIMIENTO,No Aplica,DROGUERÍA FARMAREAL PLUS,175497623,CARRERA 14 31A-19 LOCAL 105,00005 - BRR BELLO HORIZONTE,3134424654,neydamu23@hotmail.com,1,5.317622,-72.3955858,POINT (-72.3955858 5.317622)
SOCIEDAD LIMITADA,PRINCIPAL,MEDINSUMOS DEL LLANO LIMITADA,9002479531,CALLE 21 16A-27,00045 - BRR LA ESPERANZA,3212364086,medinsumosdelllano@hotmail.com,2,5.3368583,-72.3980198,POINT (-72.3980198 5.3368583)
ESTABLECIMIENTO,No Aplica,DROGAS JUDAMA,236224837,CRR MORICHAL BARRIO CRISTO REY MZ F LOTE 14,00284 - CORREGIMIENTO,3132233456,dora1leon@gmail.com,1,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA KEVESMAIK,474421339,AVENIDA MARGINAL 5 124 LA CHAPARRERA,00284 - CORREGIMIENTO,3203844328,mapashat@gmail.com,1,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA LLANO FARMEX,463704773,CARRERA 18 N. 31 - 66,00083 - BRR EL 20 DE JULIO,3115740789,yeyaromero987@hotmail.com,0,5.3287143,-72.3923765,POINT (-72.3923765 5.3287143)
ESTABLECIMIENTO,No Aplica,DROGAS LA MULTITUD,11185405229,TRANSVERSAL 23 N. 38-87,00165 - BRR CONFACASANARE,3124239940,vivianaandreaadmon@gmail.com,0,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,CENTRO NATURISTA BOCADO NATURAL YOPAL,474383884,CARRERA 19 N 10 -78,00026 - BRR EL CENTRO,6341485,jedyans@hotmail.com,1,5.3457248,-72.4005389,POINT (-72.4005389 5.3457248)
ESTABLECIMIENTO,No Aplica,MEDINSUMOS DEL LLANO LIMITADA,9002479531,CALLE 21 16A-27,00045 - BRR LA ESPERANZA,3212364086,medinsumosdelllano@hotmail.com,2,5.3368583,-72.3980198,POINT (-72.3980198 5.3368583)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,OXIGENOS DEL ORIENTE S.A.S.,8301036938,CALLE 47 N  4  82,00153 - ZONA INDUSTRIAL,3134416403,administracion1@oxioriente.com.co,27,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA COSMODROGAS LA 37,275923819,CALLE 37 12 03,00100 - BRR SAN SEBASTIAN,3143930341,anayibebustosl26@hotmail.com,2,5.3207898,-72.3984759,POINT (-72.3984759 5.3207898)
ESTABLECIMIENTO,No Aplica,DROGUERIA SALUD-YOPAL,334803802,CALLE 24 N 22B-04,00075 - BRR PROVIVIENDA,6340363,d.marithza0314@gmail.com,1,5.3367408,-72.3917619,POINT (-72.3917619 5.3367408)
ESTABLECIMIENTO,No Aplica,DROGUERIA  CASANAREÑA,194134171,CALLE 40 N 12-04,00028 - BRR EL FICAL,3108025004,almoro60@hotmail.com,4,5.3183441,-72.3977199,POINT (-72.3977199 5.3183441)
SOCIEDAD ANONIMA,AGENCIA,FARMACIA PASTEUR ALCARAVAN,8909416631,CALLE 30 N. 26-29 LC 12 C.C. ALCARAVAN,00021 - BRR COMFABOY,6333419,mortega@pasteur.com,3,5.3356725,-72.3858424,POINT (-72.3858424 5.3356725)
ESTABLECIMIENTO,No Aplica,DROGAS SAN JUAN CASANARE,10223737206,CARRERA 16 N. 36B - 26,00035 - BRR EL PORTAL,3115948389,dayis_j92@hotmail.com,1,5.3254669,-72.393149,POINT (-72.393149 5.3254669)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,SYDO GESTION INTEGRAL S.A.S.,9004520430,CARRERA 25 12 26,00059 - BRR LOS LIBERTADORES,3122777094,sydogestionintegralsas@gmail.com,5,5.3476123,-72.3945117,POINT (-72.3945117 5.3476123)
ESTABLECIMIENTO,No Aplica,FARMALIFE DEL CASANARE,238099294,CALLE 26 N 9-05,00043 - BRR LA CAMPINA,3124307180,lucywar2011@hotmail.com,1,5.3303601,-72.4040931,POINT (-72.4040931 5.3303601)
ESTABLECIMIENTO,No Aplica,SERVIDROGAS GAVAN,194142067,CARRERA 20 N 16 - 77,00030 - BRR EL GAVAN,3108143231,carlos_emsa@hotmail.com,1,5.341789,-72.3974913,POINT (-72.3974913 5.341789)
ESTABLECIMIENTO,No Aplica,DROGUERIA LINPER,11185581493,CALLE 3 N. 02 - 30 CORREGIMIENTO TILODIRAN,00184 - CORREGIMIENTO TILODIRAN,3114821447,ruvapra1961@hotmail.com,1,5.1328808,-72.1975243,POINT (-72.1975243 5.1328808)
ESTABLECIMIENTO,No Aplica,DROGUERIA ALEMANA  53,8902087889,CALLE 40 NO. 9B - 24,00051 - BRR LAGUITO,6328571,asiscontabmanga@unidrogas.net.co,2,5.3189196,-72.4104545,POINT (-72.4104545 5.3189196)
ESTABLECIMIENTO,No Aplica,LA REBAJA PLUS N. 1 YOPAL ALMACEN DE CADENA  Y DROGUERIA,8300116703,CARRERA 29 29-19,00084 - BRR VILLA BENILDA,6320536,copservir@copservir.com,5,5.3361478,-72.3830185,POINT (-72.3830185 5.3361478)
ESTABLECIMIENTO,No Aplica,DROGUERIA DAVAL SALUD,463802311,CALLE 35 N. 25A - 91,00032 - BRR EL OASIS,3125925050,matezalo@hotmail.com,1,5.3297957,-72.3838382,POINT (-72.3838382 5.3297957)
ESTABLECIMIENTO,No Aplica,DROGUERIA FARMACAS G&C,474371400,TRANSVERSAL  7 N 37 A-04,00123 - BRR BRISAS DEL LLANO,3133921359,monisabel22-@hotmail.com,1,5.3198667,-72.4005588,POINT (-72.4005588 5.3198667)
ESTABLECIMIENTO,No Aplica,MERCADO DENTAL,417886784,CALLE 10 N. 22-37 LOCAL 1,00026 - BRR EL CENTRO,3118877262,nidiacatico06@gmail.com,1,5.3479541,-72.3978098,POINT (-72.3978098 5.3479541)
ESTABLECIMIENTO,No Aplica,AGROVETERINARIA LA CORRALEJA,474383551,CORREGIMIENTO EL MORRO,00026 - BRR EL CENTRO,3118043929,alexxandrabarrera@gmail.com,1,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA EL TERMINAL DE YOPAL,410591381,CARRERA 23 N 25 15,00046 - BRR LA FLORESTA,6330488,drogueriaelterminaldeyopal@hotmail.com,2,5.3364207,-72.3904122,POINT (-72.3904122 5.3364207)
ESTABLECIMIENTO,No Aplica,TIENDA NATURISTA DELFOS YOPAL,431509961,CALLE 16 N 21 35,00005 - BRR BELLO HORIZONTE,3144324962,angelapanesso@hotmail.com,2,5.3427327,-72.3963732,POINT (-72.3963732 5.3427327)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,MUNDO DROGAS NS SAS,9005884248,CARRERA 20 N 9-04,00026 - BRR EL CENTRO,3114499768,olgasuarezdenunez@hotmail.com,6,5.3477527,-72.4003919,POINT (-72.4003919 5.3477527)
ESTABLECIMIENTO,No Aplica,SERVIDROGAS LA GRAN ECONOMIA,235961364,CALLE 10  17-23,00026 - BRR EL CENTRO,6348322,servidrogaslagraneconomia@gmail.com,0,5.348903,-72.400523,POINT (-72.400523 5.348903)
SOCIEDAD ANONIMA,AGENCIA,S Y D COLOMBIA S.A. AGENCIA-CAF YOPAL,8020006087,CALLE 15 NO. 7-95,00115 - BRR NUEVO HABITAT I,3182529733,contadorbta@syd.com.co,7,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA FARMASANTI,41733398,CARRERA 14 N 26 10,00105 - BRR ARAGUANEY,6331505,dmdrog@gmail.com,1,5.3315427,-72.399079,POINT (-72.399079 5.3315427)
ESTABLECIMIENTO,No Aplica,DROGUERIA ALEMANA 48,8902087889,CARRERA 20 N 8  75,00026 - BRR EL CENTRO,6348193,asiscontabmanga@unidrogas.net.co,3,5.3480748,-72.4004693,POINT (-72.4004693 5.3480748)
ESTABLECIMIENTO,No Aplica,NEVOA FRAGANCIAS,9016205364,CARRERA 21 N. 8-57,00026 - BRR EL CENTRO,3133509778,nevoa.frangancia.yopal@gmail.com,1,5.3488741,-72.3998352,POINT (-72.3998352 5.3488741)
ESTABLECIMIENTO,No Aplica,FARMARED PLUS DROGUERIAS,9015373451,CALLLE 40 N 9B -04,00078 - BRR SAN MATEO,3153508001,nad-castillo@hotmail.com,0,5.3189196,-72.4104545,POINT (-72.4104545 5.3189196)
ESTABLECIMIENTO,No Aplica,DROGUERIA PHARMAZUL-1,238278364,CALLE 33 N 44 - 24,00092 - BRR VILLA LUCIA,3134213310,dinixx55@hotmail.com,1,5.3290612,-72.3890265,POINT (-72.3890265 5.3290612)
ESTABLECIMIENTO,No Aplica,DROGUERIA PHARMAYOPAL 1,11185379435,CALLE 21 N. 21B - 03 ESQUINA,00089 - BRR LA AMISTAD,3204753848,isayojaramillo@hotmail.com,1,5.3384589,-72.394252,POINT (-72.394252 5.3384589)
ESTABLECIMIENTO,No Aplica,DALAFARMA,519824651,CARRERA 29 N 34-57,00038 - BRR EL REMANSO,3134041928,msernaleon@hotmail.com,2,5.3324306,-72.3806528,POINT (-72.3806528 5.3324306)
ESTABLECIMIENTO,No Aplica,LA REBAJA PLUS MINIMARKET DROGUERIA NO 7 YOPAL,8300116703,CALLE 10  24 - 04 Y CARRERA 24  10 - 03/07 ESQUINA,00049 - BRR LA PRADERA,6086359801,copservir@copservir.com,3,5.3489734,-72.3962092,POINT (-72.3962092 5.3489734)
ESTABLECIMIENTO,No Aplica,DROGUERIA CRUZ VERDE JUMBO YOPAL,8001496951,CARRERA 29  14 - 47,00090 - BRR EL HOBO,4924860,notificacionesjudiciales@cruzverde.com.co,2,5.3478142,-72.390272,POINT (-72.390272 5.3478142)
ESTABLECIMIENTO,No Aplica,DROGUERIA SYM,474376949,CALLE 46  NO. 8 - 46,00018 - CIUDADELA SAN JORGE,3103354418,dianis1407@hotmail.com,0,5.3124268,-72.3978527,POINT (-72.3978527 5.3124268)
ESTABLECIMIENTO,No Aplica,VIVAMOS CON SALUD,352621721,CARRERA 18 NO. 13-36,00026 - BRR EL CENTRO,3118214423,nora16_12@hotmail.com,0,5.3430272,-72.4002374,POINT (-72.4002374 5.3430272)
ESTABLECIMIENTO,No Aplica,DROGUERIA ALEMANA N.47,8902087889,CARRERA 20  9-102,00026 - BRR EL CENTRO,6333042,asiscontabmanga@unidrogas.net.co,2,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,TIENDA NATURISTA REVERDECER,10161021765,CALLE 9 Nro. 20 - 22,00026 - BRR EL CENTRO,3118221671,freddymorenoperez@hotmail.com,0,5.3476926,-72.400308,POINT (-72.400308 5.3476926)
ESTABLECIMIENTO,No Aplica,DROGUERIA LA CAMPIÑA DE YOPAL,47518786,CARRERA 9 N 25 23,00043 - BRR LA CAMPINA,3209878140,franklinausecha@hotmail.com,1,5.3312622,-72.4042122,POINT (-72.4042122 5.3312622)
ESTABLECIMIENTO,No Aplica,DROGUERIA QUIMAR SALUD,683024861,CALLE 35 TRANSVERSAL 15 05,00083 - BRR EL 20 DE JULIO,3208496889,jades553@gmail.com,1,5.326035,-72.3909986,POINT (-72.3909986 5.326035)
ESTABLECIMIENTO,No Aplica,FARMARED PLUS DROGUERIA 4,9015373451,CARRERA 29 N 29-75,00084 - BRR VILLA BENILDA,3153508001,nad-castillo@hotmail.com,0,5.335894,-72.3832654,POINT (-72.3832654 5.335894)
ESTABLECIMIENTO,No Aplica,DROGUERIAS EL BUEN PRECIO,94312111,CARRERA 22 N. 18-77,00030 - BRR EL GAVAN,3118270993,g.do@hotmail.com,1,5.3415523,-72.3942587,POINT (-72.3942587 5.3415523)
ESTABLECIMIENTO,No Aplica,LA REBAJA PLUS MINIMARKET DROGUERIA NO 6 YOPAL,8300116703,CARRERA 19  8-04/05/10 LOCAL 2,00026 - BRR EL CENTRO,6357057,copservir@copservir.com,2,5.3481463,-72.4018043,POINT (-72.4018043 5.3481463)
ESTABLECIMIENTO,No Aplica,LA REBAJA PLUS MINIMARKET DROGUERIA NO 9 YOPAL,8300116703,CARRERA 19 14 - 05,00026 - BRR EL CENTRO,6359824,copservir@copservir.com,3,5.3430534,-72.3986976,POINT (-72.3986976 5.3430534)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,CMQ PHARMA S.A.S.,9008215704,CALLE 20 N 27 A -03 CLINICA CEMEDICK,00042 - BRR JUAN PABLO II,3205691366,cmqfarma@gmail.com,1,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA CARDENAS Y FERNANDEZ,860094655,CORREGIMIENTO SANTA FE DE MORICHAL PARQUE PRINCIPAL,00182 - CORREGIMIENTO MORICHAL,3132093076,humberespino@hotmail.com,0,5.2269439,-72.388655,POINT (-72.388655 5.2269439)
ESTABLECIMIENTO,No Aplica,LA PERFUMERIA YOPAL,10959134244,CENTRO COMERCIAL GRAN PLAZA ALCARAVAN LOCAL 092,00165 - BRR CONFACASANARE,3112841759,paolajaimesg@gmail.com,2,5.335525,-72.3855177,POINT (-72.3855177 5.335525)
ESTABLECIMIENTO,No Aplica,ALKIMIA PRODUCTOS NATURALES S.B.,9003883298,CARRERA 23 N 12 - 43,00042 - BRR JUAN PABLO II,3134237284,drasybc@gmail.com,3,5.3464979,-72.3958924,POINT (-72.3958924 5.3464979)
ESTABLECIMIENTO,No Aplica,CENTRO NATURISTA LA ECONOMIA RAMIREZ,474341399,CALLE 10  18A  47,00026 - BRR EL CENTRO,6333492,centronaturistalaeconomia@hotmail.com,1,5.3458066,-72.4016772,POINT (-72.4016772 5.3458066)
ESTABLECIMIENTO,No Aplica,DROGUERIA LAS AMERICAS YOPAL,42707167,CARRERA 30 N 49 - 15,00102 - BRR LAS AMERICAS,3108709072,juankita1231@gmail.com,1,5.3241847,-72.3717976,POINT (-72.3717976 5.3241847)
ESTABLECIMIENTO,No Aplica,NEVOA YOPAL,No Aplica,CALLE 24 NRO. 28-90 ZONA COMúN  C.C MORICHAL PLAZA,00055 - BRR LOS ANDES,3133509005,nevoa.fragancia.yopal@gmail.com,1,5.3394573,-72.3860806,POINT (-72.3860806 5.3394573)
SOCIEDAD LIMITADA,AGENCIA,DROGAS LA ECONOMIA YOPAL 2,8605145925,CALLE 8 N 20-12,00026 - BRR EL CENTRO,6341113,dpdarriendos@gmail.com,2,5.348659,-72.4007837,POINT (-72.4007837 5.348659)
ESTABLECIMIENTO,No Aplica,DROGUERIA M.SALOME,241917558,CALLE 22 14 - 10,00045 - BRR LA ESPERANZA,3203062830,mgonzalez5002@yahoo.es,1,5.334557,-72.3996713,POINT (-72.3996713 5.334557)
ESTABLECIMIENTO,No Aplica,DROGUERIA ALEMANA 95,8902087889,CALLE 30 28 - 73,00293 - BRR GILGAR,6334805,asiscontabmanga@unidrogas.net.co,2,5.3359721,-72.381905,POINT (-72.381905 5.3359721)
ESTABLECIMIENTO,No Aplica,DROGUERIAS ARISFARMA,9011384947,DIAGONAL 9 N. 12 - 230 LOCAL 114,00137 - CONJUNTO RESIDENCIAL LA DECISION,3123211464,ruiz2cordoba@hotmail.com,6,5.3497707,-72.3948407,POINT (-72.3948407 5.3497707)
